status	additions	deletions	path
modified	246	0	README.md
modified	19	0	clang/include/clang/Basic/Attr.td
modified	8	0	clang/include/clang/Basic/AttrDocs.td
modified	181	0	clang/include/clang/Basic/BuiltinsRISCV.def
modified	12	0	clang/include/clang/Basic/DiagnosticSemaKinds.td
modified	5	0	clang/include/clang/Basic/TokenKinds.def
modified	2	0	clang/include/clang/Driver/Options.td
added	30	0	clang/include/clang/Parse/FrepHint.h
modified	11	0	clang/include/clang/Parse/Parser.h
modified	3	0	clang/lib/Basic/Targets/RISCV.cpp
modified	5	1	clang/lib/Basic/Targets/RISCV.h
modified	30	0	clang/lib/CodeGen/CGStmt.cpp
modified	3	0	clang/lib/CodeGen/CodeGenFunction.h
modified	15	0	clang/lib/Driver/ToolChains/Arch/RISCV.cpp
modified	4	1	clang/lib/Driver/ToolChains/BareMetal.cpp
modified	125	0	clang/lib/Parse/ParsePragma.cpp
modified	38	0	clang/lib/Parse/ParseStmt.cpp
modified	127	1	clang/lib/Sema/SemaChecking.cpp
modified	26	0	clang/lib/Sema/SemaStmtAttr.cpp
added	26	0	clang/test/CodeGen/RISCV/riscv-sdma-intrinsics.c
added	70	0	clang/test/CodeGen/RISCV/riscv-ssr-intrinsics.c
added	100	0	clang/test/CodeGen/RISCV/riscv-xpulpv2-intrinsics-diag.c
added	1258	0	clang/test/CodeGen/RISCV/riscv-xpulpv2-intrinsics.c
modified	4	0	clang/test/Driver/riscv-arch.c
modified	2	2	clang/test/Misc/target-invalid-cpu-note.c
added	11	0	clang/test/Preprocessor/riscv-nofdiv.c
modified	4	0	lld/ELF/Arch/RISCV.cpp
modified	4	0	llvm/include/llvm/BinaryFormat/ELFRelocs/RISCV.def
modified	3	0	llvm/include/llvm/IR/IntrinsicsRISCV.td
added	292	0	llvm/include/llvm/IR/IntrinsicsRISCVXpulp.td
added	144	0	llvm/include/llvm/IR/IntrinsicsRISCVXsnitch.td
modified	53	0	llvm/include/llvm/Target/TargetSelectionDAG.td
modified	31	1	llvm/lib/Support/RISCVISAInfo.cpp
modified	51	1	llvm/lib/Target/RISCV/AsmParser/RISCVAsmParser.cpp
modified	6	0	llvm/lib/Target/RISCV/CMakeLists.txt
modified	21	0	llvm/lib/Target/RISCV/Disassembler/RISCVDisassembler.cpp
